Il faut que tu termines ceci avant que je parte.|I need you to finish this before I leave.
Il a examiné comment l'émergence des réseaux de production mondiaux avait transformé la relation entre le travail le capital et l'État en permettant la fragmentation géographique des processus de production.|He examined how the emergence of global production networks had transformed the relationship between labour capital and the state by enabling geographic fragmentation of production processes.
Elle a soutenu que les droits constitutionnels étaient devenus un lieu de lutte dans lequel des visions concurrentes de la justice et de l'égalité étaient articulées à travers le langage juridique et l'interprétation judiciaire.|She argued that constitutional rights had become a site of struggle in which competing visions of justice and equality were articulated through legal language and judicial interpretation.
L'étude comparative des révolutions examine pourquoi certaines sociétés subissent une transformation radicale soudaine de l'ordre politique tandis que d'autres gèrent un changement progressif ou évitent l'instabilité.|The comparative study of revolutions examines why some societies undergo sudden radical transformation of political order while others manage incremental change or avoid instability.
Il a soutenu que le concept de capital social décrivait les réseaux de confiance et de réciprocité qui permettaient l'action collective mais pouvaient aussi exclure ceux qui se trouvaient en dehors du réseau.|He contended that the concept of social capital described the networks of trust and reciprocity that enabled collective action but could also exclude those outside the network.
Elle a examiné comment la jurisprudence féministe avait remis en question les normes apparemment neutres du droit en révélant leurs fondements et effets genrés.|She examined how feminist jurisprudence had challenged the apparently neutral standards of law by revealing their gendered foundations and effects.
La politique du fédéralisme fiscal implique des questions difficiles sur quel niveau de gouvernement devrait lever et dépenser les impôts et comment les transferts intergouvernementaux devraient être conçus.|The politics of fiscal federalism involves difficult questions about which level of government should raise and spend taxes and how intergovernmental transfers should be designed.
Il a soutenu que l'économie politique de l'extraction des ressources naturelles montrait comment la richesse des ressources pouvait paradoxalement compromettre à la fois la diversification économique et la gouvernance démocratique.|He argued that the political economy of natural resource extraction showed how resource wealth could paradoxically undermine both economic diversification and democratic governance.
Elle a soutenu que la théorie de l'interdépendance complexe décrivait un monde dans lequel les États étaient imbriqués dans de denses réseaux de liens économiques et sociaux qui contraignaient leurs choix de politique étrangère.|She maintained that the theory of complex interdependence described a world in which states were embedded in dense networks of economic and social ties that constrained their foreign policy choices.
Le concept de cadrage dans la communication politique décrit comment la façon dont une question est présentée façonne la compréhension publique et affecte les préférences politiques et les résultats des politiques.|The concept of framing in political communication describes how the way an issue is presented shapes public understanding and affects political preferences and policy outcomes.
Il a soutenu que les études postcoloniales avaient révélé comment les disciplines d'histoire d'anthropologie et de sciences politiques avaient été complices de la production du savoir colonial.|He contended that postcolonial studies had revealed how the disciplines of history anthropology and political science had been complicit in the production of colonial knowledge.
Elle a examiné comment l'État-providence était ancré dans une économie morale qui définissait les pauvres méritants et non méritants et façonnait les attitudes publiques à l'égard de la redistribution.|She examined how the welfare state was embedded in a moral economy that defined the deserving and undeserving poor and shaped public attitudes to redistribution.
La sociologie de la connaissance demande comment les facteurs sociaux y compris les intérêts de classe et les positions institutionnelles façonnent ce qui compte comme connaissance et la connaissance de qui est validée.|The sociology of knowledge asks how social factors including class interests and institutional positions shape what counts as knowledge and whose knowledge is validated.
Il a soutenu que le concept de confiance sociale était à la fois un produit de la conception institutionnelle et une condition préalable à une gouvernance efficace créant des cycles potentiellement vertueux et vicieux.|He argued that the concept of social trust was both a product of institutional design and a precondition for effective governance creating potential virtuous and vicious cycles.
Elle a soutenu que la critique de l'eurocentrisme en théorie politique nécessitait non seulement d'ajouter des voix non occidentales mais de repenser les catégories fondamentales et les méthodes de la discipline.|She maintained that the critique of Eurocentrism in political theory required not just adding non-Western voices but rethinking the foundational categories and methods of the discipline.
Le débat sur la commensurabilité en éthique demande si différentes valeurs telles que la liberté l'égalité et la communauté peuvent être comparées et mises en balance les unes par rapport aux autres sur une échelle commune.|The debate about commensurability in ethics asks whether different values such as liberty equality and community can be compared and traded off against one another on a common scale.
Il a soutenu que la politique des frontières n'était pas simplement une question de sécurité territoriale mais aussi de construction de l'identité nationale et de gestion de la migration économique.|He contended that the politics of borders were not simply about territorial security but about the construction of national identity and the management of economic migration.
Elle a examiné comment le concept d'étalement urbain et ses alternatives reflétaient des visions concurrentes de la bonne ville et de la bonne organisation de l'espace métropolitain.|She examined how the concept of urban sprawl and its alternatives reflected competing visions of the good city and the proper organisation of metropolitan space.
L'économie politique de la pauvreté montre que la pauvreté n'est pas simplement une absence de revenus mais implique des privations multidimensionnelles qui interagissent et se renforcent mutuellement.|The political economy of poverty shows that poverty is not simply about the absence of income but involves multidimensional deprivations that interact and compound one another.
Il a soutenu que la montée du légalisme autoritaire décrivait comment les régimes pouvaient utiliser des instruments juridiques pour consolider le pouvoir et saper les contrepoids démocratiques sans formellement abolir le droit.|He argued that the rise of authoritarian legalism described how regimes could use legal instruments to consolidate power and undermine democratic checks without formally abolishing law.
Elle a soutenu que l'étude de la religion comparée révélait comment les traditions religieuses avaient servi à la fois à légitimer les structures de pouvoir existantes et à fournir des ressources pour la critique sociale.|She maintained that the study of comparative religion revealed how religious traditions had served both to legitimise existing power structures and to provide resources for social critique.
La théorie de l'engagement crédible décrit comment les acteurs politiques peuvent se lier à de futures lignes d'action afin d'améliorer leur crédibilité et de permettre la coopération.|The theory of credible commitment describes how political actors can bind themselves to future courses of action in order to enhance their credibility and enable cooperation.
Il a soutenu que l'économie politique de l'urbanisation montrait comment les villes étaient à la fois des moteurs de croissance économique et des sites d'inégalité concentrée et d'exclusion sociale.|He contended that the political economy of urbanisation showed how cities were both engines of economic growth and sites of concentrated inequality and social exclusion.
Elle a examiné comment le concept d'intersectionnalité avait remis en cause les cadres a axe unique dans le droit anti-discrimination et plaidé pour des compréhensions plus complexes des oppressions croisées.|She examined how the concept of intersectionality had challenged single-axis frameworks in anti-discrimination law and called for more complex understandings of overlapping oppressions.
Le concept de pouvoir structurel dans les relations internationales décrit la capacité à façonner les règles les cadres et les institutions dans lesquels les autres doivent opérer.|The concept of structural power in international relations describes the ability to shape the rules frameworks and institutions within which others must operate.
Il a soutenu que le concept de politique bureaucratique expliquait comment les décisions de politique étrangère émergeaient de la négociation entre différentes agences gouvernementales avec des intérêts et des perspectives distincts.|He argued that the concept of bureaucratic politics explained how foreign policy decisions emerged from bargaining among different governmental agencies with distinct interests and perspectives.
Elle a soutenu que la politique de la reconnaissance nécessitait non seulement de reconnaître les identités existantes mais aussi de créer un espace pour leur transformation et leur contestation au fil du temps.|She maintained that the politics of recognition required not just acknowledging existing identities but also creating space for their transformation and contestation over time.
Le concept d'économie de l'attention décrit comment les plateformes de médias numériques se disputent l'attention limitée des utilisateurs créant des incitations pour le sensationnalisme la désinformation et l'indignation.|The concept of the attention economy describes how digital media platforms compete for users' limited attention creating incentives for sensationalism misinformation and outrage.
Il a soutenu que la gouvernance de l'intelligence artificielle soulevait des questions fondamentales sur la responsabilité la transparence et la distribution des avantages et des risques dans la société.|He contended that the governance of artificial intelligence raised fundamental questions about accountability transparency and the distribution of benefits and risks across society.
Elle a examiné comment le concept d'innovation démocratique décrivait de nouveaux mécanismes tels que les assemblées citoyennes le budget participatif et les sondages délibératifs qui étendaient la participation au-delà des élections.|She examined how the concept of democratic innovation described new mechanisms such as citizens assemblies participatory budgeting and deliberative polls that extended participation beyond elections.
La théorie politique de la non-domination soutient que la liberté nécessite non seulement l'absence d'ingérence mais l'absence de la capacité des autres à interférer arbitrairement.|The political theory of non-domination holds that freedom requires not just the absence of interference but the absence of the capacity of others to interfere arbitrarily.
Il a soutenu que l'étude comparative de la corruption révélait que ce n'était pas simplement un problème culturel mais était façonnée par des incitations institutionnelles la compétition politique et la capacité d'application.|He argued that the comparative study of corruption revealed it was not simply a cultural problem but was shaped by institutional incentives political competition and enforcement capacity.
Elle a soutenu que la politique de la dette publique impliquait des questions fondamentales sur l'équité intergénérationnelle les limites de l'emprunt public et l'économie politique des contraintes budgétaires.|She maintained that the politics of public debt involved fundamental questions about intergenerational fairness the limits of government borrowing and the political economy of fiscal constraints.
La théorie des réseaux réglementaires décrit comment la gouvernance dans des secteurs complexes implique non seulement les agences étatiques mais plusieurs acteurs y compris les entreprises les associations professionnelles et la société civile.|The theory of regulatory networks describes how governance in complex sectors involves not just state agencies but multiple actors including firms professional associations and civil society.
Il a soutenu que les fondements normatifs de la démocratie libérale étaient sous pression parce qu'ils reposaient sur des hypothèses philosophiques contestées qui manquaient d'acceptation universelle.|He contended that the normative foundations of liberal democracy were under strain because they rested on contested philosophical assumptions that lacked universal acceptance.
Elle a examiné comment l'écart de rémunération entre les sexes persistait malgré la législation anti-discrimination révélant comment les facteurs structurels et culturels continuaient à façonner les résultats du marché du travail.|She examined how the gender pay gap persisted despite anti-discrimination legislation revealing how structural and cultural factors continued to shape labour market outcomes.
Le concept d'économie politique des médias examine comment les structures de propriété les incitations du marché et les cadres réglementaires façonnent l'environnement informationnel sur lequel les citoyens s'appuient.|The concept of political economy of the media examines how ownership structures market incentives and regulatory frameworks shape the information environment that citizens rely on.
Il a soutenu que la théorie des systèmes délibératifs étendait l'idée de démocratie délibérative des forums individuels à l'écosystème de communication plus large d'une société.|He argued that the theory of deliberative systems extended the idea of deliberative democracy from individual forums to the broader ecosystem of communication in a society.
Elle a soutenu que la politique de la production du savoir dans les institutions de développement avait privilégié des approches technocratiques particulières tout en marginalisant l'expertise locale et les savoirs expérientiels.|She maintained that the politics of knowledge production in development institutions had privileged particular technocratic approaches while marginalising local expertise and experiential knowledge.
Le concept de sécurité ontologique dans les relations internationales décrit comment les États cherchent des récits stables et continus sur leur identité pour guider leur politique étrangère.|The concept of ontological security in international relations describes how states seek stable and continuous narratives about their identity to guide their foreign policy.
Il a soutenu que l'étude de la culture politique révélait comment les valeurs et croyances profondément enracinées sur l'autorité la confiance et la participation façonnaient les possibilités pour la gouvernance démocratique.|He contended that the study of political culture revealed how deeply embedded values and beliefs about authority trust and participation shaped the possibilities for democratic governance.
Elle a examiné comment la montée de l'État régulateur avait transformé les modes classiques d'administration publique à travers des agences indépendantes la sous-traitance et de nouvelles formes de gouvernance responsable.|She examined how the rise of the regulatory state transformed classical modes of public administration through independent agencies contracting out and new forms of accountable governance.
Le concept de discours dans l'analyse politique décrit comment le langage structure la réalité politique en définissant ce qui est pensable dicible et faisable dans un contexte politique donné.|The concept of discourse in political analysis describes how language structures political reality by defining what is thinkable sayable and doable in a given political context.
Il a soutenu que le principe de non-refoulement dans le droit des réfugiés reflétait un engagement plus profond envers la protection de la dignité humaine qui transcendait la souveraineté nationale.|He argued that the principle of non-refoulement in refugee law reflected a deeper commitment to the protection of human dignity that transcended national sovereignty.
Elle a soutenu que la philosophie politique de la punition devait tenir compte des conditions sociales qui façonnaient le comportement criminel plutôt que de traiter le crime comme un simple échec moral individuel.|She maintained that the political philosophy of punishment needed to account for the social conditions that shaped criminal behaviour rather than treating crime as a purely individual moral failure.
Le concept de cité en théorie politique désigne la communauté politique organisée y compris ses institutions ses membres et les principes qui les unissent.|The concept of polity in political theory refers to the organised political community including its institutions members and the principles that bind them together.
Il a soutenu que le concept de représentation démocratique impliquait non seulement de sélectionner des responsables mais aussi de communiquer des préférences de rendre des comptes aux dirigeants et d'inclure diverses voix.|He contended that the concept of democratic representation involved not just selecting officials but communicating preferences holding leaders accountable and including diverse voices.
Elle a examiné comment le concept de légitimité en droit international différait de la légalité et pourquoi les États suivaient parfois les normes internationales même en l'absence de mécanismes d'application.|She examined how the concept of legitimacy in international law differed from legality and why states sometimes followed international norms even when there were no enforcement mechanisms.
La politique des infrastructures révèle comment les décisions d'investissement dans les routes les chemins de fer les systèmes énergétiques et les réseaux numériques distribuent les opportunités économiques et le pouvoir politique dans l'espace.|The politics of infrastructure reveals how decisions about investment in roads railways energy systems and digital networks distribute economic opportunity and political power across space.
Il a soutenu que le concept de rationalité limitée décrivait mieux la prise de décision humaine que les modèles de choix rationnel en reconnaissant les limites cognitives et les contraintes environnementales.|He argued that the concept of bounded rationality better described human decision-making than rational choice models by acknowledging cognitive limitations and environmental constraints.
Elle a soutenu que le concept de travail reproductif décrivait le travail principalement effectué par les femmes pour maintenir les ménages et prendre soin des personnes à charge qui était essentiel à la production économique mais en grande partie invisible.|She maintained that the concept of reproductive labour described the work mostly performed by women in maintaining households and caring for dependents which was essential to economic production but largely invisible.
Le concept des déterminants sociaux de la santé montre que les résultats de santé individuels sont façonnés par des facteurs socioéconomiques tels que le revenu l'éducation l'emploi et l'environnement physique.|The concept of the social determinants of health shows that individual health outcomes are shaped by socioeconomic factors like income education employment and the physical environment.
Il a soutenu que le processus d'européanisation avait transformé les systèmes politiques nationaux des États membres de l'UE d'une façon qui dépassait le simple transfert de politiques.|He contended that the process of Europeanisation had transformed domestic political systems in EU member states in ways that went beyond simple policy transfer.
Elle a examiné comment les mouvements environnementaux avaient évolué de la conservation à la durabilité jusqu'à la décroissance à mesure que l'échelle et l'urgence des crises écologiques s'intensifiaient.|She examined how environmental movements had evolved from conservation to sustainability to degrowth as the scale and urgency of ecological crises had intensified.
La philosophie politique de la désobéissance civile demande quand il est moralement justifié de violer la loi pour poursuivre la justice et quelles conditions doivent être satisfaites pour que cette action soit légitime.|The political philosophy of civil disobedience asks when it is morally justified to break the law in pursuit of justice and what conditions must be satisfied for such action to be legitimate.
Il a soutenu que le concept de reproduction sociale expliquait comment les sociétés capitalistes se maintenaient non seulement par la production mais aussi par le soin quotidien et l'entretien de la vie humaine.|He argued that the concept of social reproduction explained how capitalist societies sustained themselves not just through production but through the daily care and maintenance of human life.
Elle a soutenu que l'analyse de la rhétorique politique nécessitait de s'intéresser non seulement au contenu mais aussi aux effets performatifs et à la façon dont la rhétorique constituait les sujets et les possibilités politiques.|She maintained that the analysis of political rhetoric required attending not just to content but to performative effects and how rhetoric constituted political subjects and possibilities.
Le concept d'urgence complexe décrit des situations de crise où le conflit politique les catastrophes naturelles et l'effondrement économique interagissent pour créer des besoins humanitaires qui ne peuvent pas être traités par des solutions simples.|The concept of complex emergency describes crisis situations where political conflict natural disaster and economic collapse interact to create humanitarian needs that cannot be addressed through simple solutions.
Il a soutenu que l'économie politique de l'industrie pharmaceutique révélait comment les droits de brevet et les incitations du marché produisaient une innovation axée sur les consommateurs aisés au détriment des besoins de santé mondiaux.|He contended that the political economy of the pharmaceutical industry revealed how patent rights and market incentives produced innovation focused on wealthy consumers at the expense of global health needs.
Elle a examiné comment le concept de légitimité démocratique avait été étendu au-delà des élections nationales pour inclure les institutions internationales confrontées à un déficit démocratique.|She examined how the concept of democratic legitimacy had been extended beyond national elections to include international institutions facing a democratic deficit.
La théorie de la rationalité limitée a été étendue à la prise de décision politique montrant comment les limites cognitives les pressions temporelles et la surcharge d'informations affectaient les choix politiques.|The theory of bounded rationality was extended to political decision-making showing how cognitive limitations time pressures and information overload affected policy choices.
Il a soutenu que la restructuration néolibérale de l'État ne l'avait pas simplement réduit mais l'avait réorganisé autour de priorités différentes favorisant les acteurs du marché et réduisant la redistribution.|He argued that the neoliberal restructuring of the state had not simply shrunk government but had reorganised it around different priorities favouring market actors and reducing redistribution.
Elle a soutenu que la politique de la religion dans les sociétés pluralistes nécessitait de trouver des arrangements institutionnels qui respectaient à la fois la liberté religieuse et la position égale des citoyens indépendamment de leurs croyances.|She maintained that the politics of religion in pluralist societies required finding institutional arrangements that respected both religious freedom and the equal standing of citizens irrespective of belief.
Le concept de risque systémique en cascade décrit comment les défaillances dans une partie d'un système complexe et interconnecté peuvent déclencher des conséquences imprévisibles et potentiellement catastrophiques dans l'ensemble du système.|The concept of cascading systemic risk describes how failures in one part of a complex interconnected system can trigger unpredictable and potentially catastrophic consequences across the whole system.
Il a soutenu que la politique de l'immigration nécessitait d'équilibrer les intérêts légitimes des communautés d'accueil avec les droits et les besoins des migrants y compris les demandeurs d'asile.|He contended that the politics of immigration required balancing the legitimate interests of receiving communities with the rights and needs of migrants including asylum seekers.
Elle a examiné comment différentes conceptions de la justice telles que l'égalitarisme par chance le sufficientarisme et le prioritarisme menaient à des conclusions différentes sur ce à quoi ressemblerait une distribution juste des ressources.|She examined how different conceptions of justice such as luck egalitarianism sufficientarianism and prioritarianism led to different conclusions about what a just distribution of resources would look like.
Le concept d'intervention humanitaire soulève la tension entre le principe de souveraineté de l'État et l'impératif de protéger les civils des atrocités de masse.|The concept of humanitarian intervention raises the tension between the principle of state sovereignty and the imperative to protect civilians from mass atrocities.
Il a soutenu que la politique de l'appartenance décrivait comment les communautés définissaient leurs frontières d'appartenance et géraient l'inclusion et l'exclusion des individus et des groupes.|He argued that the politics of belonging described how communities defined their membership boundaries and managed the inclusion and exclusion of individuals and groups.
Elle a soutenu que l'économie politique du soin décrivait une chaîne mondiale de soin dans laquelle des femmes de pays à faible revenu migraient pour fournir des services de soin dans des pays à revenu élevé.|She maintained that the political economy of care described a global care chain in which women from lower-income countries migrated to provide care services in higher-income countries.
Le concept d'entrepreneuriat de normes dans les relations internationales décrit comment les acteurs promeuvent de nouvelles idées et valeurs qui modifient progressivement les attentes sur le comportement étatique approprié.|The concept of norm entrepreneurship in international relations describes how actors promote new ideas and values that gradually change the expectations about appropriate state behaviour.
Il a soutenu que l'analyse des régimes autoritaires devait tenir compte de leur diversité plutôt que de les traiter comme une catégorie résiduelle définie simplement par l'absence de démocratie.|He contended that the analysis of authoritarian regimes needed to account for their diversity rather than treating them as a residual category defined simply by the absence of democracy.
Elle a examiné comment le concept de gouvernance urbaine décrivait la négociation complexe entre les municipalités les acteurs privés la société civile et les niveaux supérieurs de gouvernement sur la politique de la ville.|She examined how the concept of urban governance described the complex negotiation between municipalities private actors civil society and higher levels of government over city policy.
L'économie politique du capitalisme de la connaissance montre comment des actifs intangibles tels que la propriété intellectuelle les données et la valeur de marque sont devenus centraux dans la création et l'appropriation de la valeur économique.|The political economy of knowledge capitalism shows how intangible assets like intellectual property data and brand value have become central to the creation and appropriation of economic value.
Il a soutenu que la sociologie politique des mouvements sociaux nécessitait d'examiner non seulement leur dynamique interne mais aussi leur interaction avec les structures d'opportunités politiques les contextes institutionnels et les contre-mouvements.|He argued that the political sociology of social movements required examining not just their internal dynamics but how they interacted with political opportunity structures institutional contexts and counter-movements.
Elle a soutenu que la théorie politique de la justice mondiale devait s'attaquer à la fois aux remèdes institutionnels pour les structures mondiales injustes et aux remèdes pour les torts historiques qui avaient produit ces structures.|She maintained that the political theory of global justice needed to address both institutional remedies for unjust global structures and remedies for historical wrongs that had produced those structures.
Le concept de démocratie épistémique soutient que les procédures démocratiques peuvent produire des résultats épistémiquement supérieurs parce que la délibération collective agrège les savoirs dispersés et corrige les erreurs individuelles.|The concept of epistemic democracy holds that democratic procedures can produce epistemically superior outcomes because collective deliberation aggregates dispersed knowledge and corrects individual errors.
Il a soutenu que la politique de l'adaptation climatique ne nécessitait pas seulement des solutions techniques mais des changements fondamentaux dans l'organisation sociale et l'économie politique.|He argued that the politics of climate adaptation required not just technical solutions but fundamental shifts in social organisation and political economy.
Elle a examiné comment la montée des tribunaux supranationaux avait transféré l'autorité constitutionnelle des législatures nationales aux organes judiciaires avec des implications pour la responsabilité démocratique.|She examined how the rise of supranational courts had transferred constitutional authority from national legislatures to judicial bodies with implications for democratic accountability.
Le concept de lacunes de gouvernance décrit la situation où la capacité des institutions mondiales à réguler les acteurs et processus transnationaux est inférieure à ce qui est nécessaire.|The concept of governance gaps describes the situation where the capacity of global institutions to regulate transnational actors and processes falls short of what is needed.
Il a soutenu que la politique de l'identité ne pouvait pas être réduite à la politique des intérêts parce que le désir de reconnaissance impliquait une forme distincte de besoin social que la redistribution matérielle ne pouvait pas satisfaire.|He contended that the politics of identity could not be reduced to interest politics because the desire for recognition involved a distinct form of social need that material redistribution could not satisfy.
Elle a soutenu que le concept de stratification sociale expliquait comment les chances de vie étaient systématiquement distribuées selon des lignes de classe de genre d'ethnicité et d'autres divisions sociales.|She maintained that the concept of social stratification explained how life chances were systematically distributed along lines of class gender ethnicity and other social divisions.
Le débat sur le droit naturel versus le positivisme juridique demande si la validité du droit dépend de son contenu moral ou simplement de ses origines dans des processus sociaux légitimes.|The debate about natural law versus legal positivism asks whether the law's validity depends on its moral content or simply on its origins in legitimate social processes.
Il a soutenu que l'analyse comparative des régimes d'État-providence montrait que la marchandisation du travail et le rôle des familles dans la fourniture de protection sociale variaient systématiquement selon les économies politiques.|He argued that the comparative analysis of welfare regimes showed that the commodification of labour and the role of families in welfare provision varied systematically across different political economies.
Elle a examiné comment la sécuritisation de la santé publique avait transformé les maladies infectieuses d'une question de santé publique en une préoccupation de sécurité nationale et internationale avec des implications pour la gouvernance.|She examined how the securitisation of public health transformed infectious disease from a public health issue into a national and international security concern with implications for governance.
La théorie de l'institutionnalisme discursif décrit comment les idées et le discours affectent la trajectoire du changement institutionnel en façonnant les perceptions des acteurs de leurs intérêts et options.|The theory of discursive institutionalism describes how ideas and discourse affect the trajectory of institutional change by shaping actors' perceptions of their interests and options.
Il a soutenu que la politique de l'intégration régionale montrait comment les États pouvaient mettre en commun leur souveraineté dans des domaines spécifiques pour résoudre des problèmes d'action collective tout en conservant leur autonomie dans d'autres.|He contended that the politics of regional integration showed how states could pool sovereignty in specific domains to solve collective action problems while retaining autonomy in others.
Elle a examiné comment la politique de l'avortement dans de nombreux pays révélait des conflits insolubles entre des valeurs fondamentales sur l'autonomie corporelle la personnalité et le statut de la vie potentielle.|She examined how the politics of abortion in many countries revealed irresolvable conflicts between fundamental values about bodily autonomy personhood and the status of potential life.
Le concept de récits stratégiques en politique internationale décrit comment les États et d'autres acteurs créent et projettent des histoires sur le passé le présent et l'avenir pour façonner les perceptions des autres.|The concept of strategic narratives in international politics describes how states and other actors create and project stories about the past present and future to shape others' perceptions.
Il a soutenu que le concept de consensus des élites expliquait comment l'accord entre les principaux décideurs dans les démocraties stables pouvait faciliter la stabilité politique mais aussi contraindre le changement des politiques.|He argued that the concept of elite consensus explained how agreement among key decision-makers within stable democracies could facilitate political stability but also constrain policy change.
Elle a soutenu que la philosophie politique des droits de propriété devait rendre compte de la façon dont les distributions existantes étaient le produit de processus historiques qui comprenaient une appropriation et une exclusion injustes.|She maintained that the political philosophy of property rights needed to account for how existing distributions were the product of historical processes that included unjust appropriation and exclusion.
Le concept de contrat social dans la philosophie politique rawlsienne exige d'imaginer les principes de justice sur lesquels des personnes libres et égales s'accorderaient depuis derrière un voile d'ignorance.|The concept of social contract in Rawlsian political philosophy requires imagining what principles of justice free and equal persons would agree to from behind a veil of ignorance.
Il a soutenu que la politique de la mémoire dans les anciens régimes autoritaires impliquait des choix difficiles sur la responsabilité la vérité l'amnistie et les conditions d'une démocratisation durable.|He contended that the politics of memory in former authoritarian regimes involved difficult choices about accountability truth-telling amnesty and the conditions for sustainable democratisation.
Elle a examiné comment la gouvernance d'Internet soulevait des questions sur qui avait l'autorité de prendre des décisions sur l'infrastructure numérique la modération du contenu et les flux de données.|She examined how the governance of the internet raised questions about who had the authority to make decisions about digital infrastructure content moderation and data flows.
Le concept de gouvernance environnementale décrit les systèmes complexes et multi-niveaux de règles d'acteurs et d'institutions qui gèrent les interactions humaines avec les systèmes naturels.|The concept of environmental governance describes the complex multi-level systems of rules actors and institutions that manage human interactions with natural systems.
Il a soutenu que la montée des monopoles de plateformes créait de nouveaux défis pour la réglementation antitrust parce que les tests traditionnels de domination du marché ne saisissaient pas la dynamique des effets de réseau entraînés par les données.|He argued that the rise of platform monopolies created new challenges for antitrust regulation because traditional market dominance tests did not capture the dynamics of data-driven network effects.
Elle a soutenu que la théorie politique de la tolérance nécessitait non seulement de s'abstenir de persécuter mais de créer activement un espace pour l'expression et la contestation de diverses façons de vivre.|She maintained that the political theory of toleration required not just refraining from persecution but actively creating space for the expression and contestation of diverse ways of life.
Le concept de culture organisationnelle décrit les valeurs les hypothèses et les pratiques partagées qui façonnent le comportement au sein des organisations et affectent leur capacité de changement et d'adaptation.|The concept of organisational culture describes the shared values assumptions and practices that shape behaviour within organisations and affect their capacity for change and adaptation.
Il a soutenu que le concept d'État développementaliste était historiquement spécifique et ne pouvait pas être simplement reproduit par les économies contemporaines faisant face à des conditions mondiales et institutionnelles très différentes.|He contended that the concept of the developmental state was historically specific and could not be simply reproduced by contemporary economies facing very different global and institutional conditions.
Elle a examiné comment la politique de la santé publique nécessitait d'équilibrer les libertés individuelles avec les intérêts collectifs et comment différentes traditions libérales avaient résolu cette tension différemment.|She examined how the politics of public health required balancing individual freedoms with collective interests and how different liberal traditions had resolved this tension differently.
Le concept d'espace budgétaire décrit la capacité des gouvernements à entreprendre des dépenses publiques sans compromettre leur stabilité financière ou leur viabilité de la dette.|The concept of fiscal space describes the capacity of governments to undertake public expenditure without compromising their financial stability or debt sustainability.
Il a soutenu que la politique de régénération urbaine déplaçait souvent les communautés existantes tout en bénéficiant principalement aux promoteurs immobiliers et aux résidents à revenus plus élevés soulevant des questions de justice spatiale.|He argued that the politics of urban regeneration often displaced existing communities while primarily benefiting developers and higher-income residents raising questions of spatial justice.
Elle a soutenu que l'étude du constitutionnalisme comparé révélait des modèles divers pour protéger les droits équilibrer les pouvoirs et organiser des systèmes fédéraux ou décentralisés dans différents contextes culturels.|She maintained that the study of comparative constitutionalism revealed diverse models for protecting rights balancing powers and organising federal or devolved systems across different cultural contexts.
La théorie de la dépendance au sentier explique pourquoi les choix historiques et les arrangements institutionnels peuvent créer des effets de verrouillage qui contraignent les options futures même lorsque de meilleures alternatives existent.|The theory of path dependence explains why historical choices and institutional arrangements can create lock-in effects that constrain future options even when better alternatives exist.
Il a soutenu que l'architecture de gouvernance environnementale mondiale était fragmentée entre de multiples régimes secteurs et niveaux de gouvernance créant des échecs de coordination et des lacunes de mise en œuvre.|He contended that the global environmental governance architecture was fragmented across multiple regimes sectors and levels of governance creating coordination failures and implementation gaps.
Elle a examiné comment la politique de la réforme des retraites révélait de profonds conflits entre les générations les genres et les groupes professionnels sur la distribution des risques et des avantages liés à la retraite.|She examined how the politics of pension reform revealed deep conflicts between generations genders and occupational groups over the distribution of retirement risks and benefits.
Le concept de gouvernance en réseau décrit comment l'élaboration des politiques dans des domaines complexes implique une coordination entre plusieurs acteurs au-delà des frontières organisationnelles et juridictionnelles.|The concept of networked governance describes how policy-making in complex domains involves coordination among multiple actors across organisational and jurisdictional boundaries.
Il a soutenu que le concept de racisme structurel décrivait comment les schémas historiques de discrimination avaient été inscrits dans des institutions des systèmes juridiques et des pratiques sociales d'une façon qui persistait sans acteurs explicitement racistes.|He argued that the concept of structural racism described how historical patterns of discrimination had been embedded in institutions legal systems and social practices in ways that persisted without explicitly racist actors.
Elle a soutenu que la théorie politique de l'État nécessitait de dépasser l'analyse institutionnelle formelle pour examiner comment le pouvoir de l'État était exercé reproduit et contesté dans la vie quotidienne.|She maintained that the political theory of the state required going beyond formal institutional analysis to examine how state power was exercised reproduced and contested in everyday life.
Le concept de prédistribution décrit les politiques qui visent à façonner les résultats du marché avant que la redistribution se produise afin que la distribution primaire des revenus et des richesses soit plus égale.|The concept of predistribution describes policies that aim to shape market outcomes before redistribution occurs so that the primary distribution of income and wealth is more equal.
Il a soutenu que la montée de la gouvernance technocratique soulevait des questions fondamentales sur le déficit démocratique dans des institutions dirigées par des experts comme les banques centrales et les agences de réglementation indépendantes.|He contended that the rise of technocratic governance raised fundamental questions about the democratic deficit in expert-driven institutions like central banks and independent regulatory agencies.
Elle a examiné comment les écologistes politiques avaient analysé la distribution inégale des risques environnementaux entre les groupes sociaux remettant en cause la tendance de l'environnementalisme traditionnel vers l'universalisme.|She examined how political ecologists had analysed the unequal distribution of environmental risks across social groups challenging mainstream environmentalism's tendency toward universalism.
